LK_ID,LK_Name,LK_Type,Population,BL_Code,BL_Name,Twitter Account
16064,Unstrut-Hainich-Kreis,Landkreis,102912,TH,Thüringen,?
12062,Elbe-Elster,Landkreis,102638,BB,Brandenburg,?
6636,Werra-Meißner-Kreis,Landkreis,101017,HE,Hessen,?
9278,Straubing-Bogen,Landkreis,100649,BY,Bayern,?
16061,Eichsfeld,Landkreis,100380,TH,Thüringen,?
9575,Neustadt a.d. Aisch-Bad Windsheim,Landkreis,100364,BY,Bayern,?
12052,Cottbus,Kreisfreie Stadt,100219,BB,Brandenburg,Stadt_Cottbus
7312,Kaiserslautern,Kreisfreie Stadt,99845,RP,Rheinland-Pfalz,StadtKL
9182,Miesbach,Landkreis,99726,BY,Bayern,?
12068,Ostprignitz-Ruppin,Landkreis,99078,BB,Brandenburg,?
7232,Eifelkreis Bitburg-Prüm,Landkreis,98561,RP,Rheinland-Pfalz,?
3455,Friesland,Landkreis,98460,NI,Niedersachsen,?
16076,Greiz,Landkreis,98159,TH,Thüringen,?
6437,Odenwaldkreis,Landkreis,96798,HE,Hessen,?
9185,Neuburg-Schrobenhausen,Landkreis,96680,BY,Bayern,?
9279,Dingolfing-Landau,Landkreis,96217,BY,Bayern,?
9773,Dillingen a.d. Donau,Landkreis,96021,BY,Bayern,?
13004,Schwerin,Kreisfreie Stadt,95818,MV,Mecklenburg-Vorpommern,schwerin_de
9475,Hof,Landkreis,95311,BY,Bayern,?
7340,Südwestpfalz,Landkreis,95113,RP,Rheinland-Pfalz,?
9577,Weißenburg-Gunzenhausen,Landkreis,94393,BY,Bayern,?
9374,Neustadt a.d. Waldnaab,Landkreis,94352,BY,Bayern,?
16052,Gera,Kreisfreie Stadt,94152,TH,Thüringen,Stadt_Gera
3360,Uelzen,Landkreis,92572,NI,Niedersachsen,?
3154,Helmstedt,Landkreis,91307,NI,Niedersachsen,?
9675,Kitzingen,Landkreis,90909,BY,Bayern,?
16077,Altenburger Land,Landkreis,90118,TH,Thüringen,-
15086,Jerichower Land,Landkreis,89928,ST,Sachsen-Anhalt,?
1001,Flensburg,Kreisfreie Stadt,89504,SH,Schleswig-Holstein,Stadt_Flensburg
3461,Wesermarsch,Landkreis,88624,NI,Niedersachsen,?
9180,Garmisch-Partenkirchen,Landkreis,88467,BY,Bayern,?
10046,St. Wendel,Landkreis,87397,SL,Saarland,?
9473,Coburg,Landkreis,86906,BY,Bayern,?
9674,Haßberge,Landkreis,84599,BY,Bayern,?
16062,Nordhausen,Landkreis,83822,TH,Thüringen,?
15081,Altmarkkreis Salzwedel,Landkreis,83765,ST,Sachsen-Anhalt,?
7319,Worms,Kreisfreie Stadt,83330,RP,Rheinland-Pfalz,nibelungenstadt
16074,Saale-Holzland-Kreis,Landkreis,83051,TH,Thüringen,?
16071,Weimarer Land,Landkreis,81947,TH,Thüringen,?
9776,Lindau (Bodensee),Landkreis,81669,BY,Bayern,?
15001,Dessau-Roßlau,Kreisfreie Stadt,81237,ST,Sachsen-Anhalt,Dessau_Rosslau
16075,Saale-Orla-Kreis,Landkreis,80868,TH,Thüringen,-
7134,Birkenfeld,Landkreis,80720,RP,Rheinland-Pfalz,?
9673,Rhön-Grabfeld,Landkreis,79690,BY,Bayern,?
1004,Neumünster,Kreisfreie Stadt,79487,SH,Schleswig-Holstein,neumuenster
9272,Freyung-Grafenau,Landkreis,78355,BY,Bayern,?
9276,Regen,Landkreis,77656,BY,Bayern,?
3401,Delmenhorst,Kreisfreie Stadt,77607,NI,Niedersachsen,delmenhorst_de
9461,Bamberg,Kreisfreie Stadt,77592,BY,Bayern,Bamberg_de
12070,Prignitz,Landkreis,76508,BB,Brandenburg,?
3405,Wilhelmshaven,Kreisfreie Stadt,76278,NI,Niedersachsen,StadtWHV
7333,Donnersbergkreis,Landkreis,75101,RP,Rheinland-Pfalz,?
